County,avg(Percentage),rural_urban
Perry,0.06999999999999999,Rural
Carbon,0.066,Rural
Sullivan,0.06,Rural
Dauphin,0.05600000000000001,Urban
Cameron,0.05,Rural
Philadelphia,0.05,Urban
Wyoming,0.05,Rural
Fayette,0.04666666666666667,Rural
Fulton,0.04666666666666667,Rural
Snyder,0.045,Rural
Wayne,0.045,Rural
Schuylkill,0.04499999999999999,Rural
Susquehanna,0.043333333333333335,Rural
Lackawanna,0.043000000000000003,Urban
Monroe,0.0425,Rural
Cumberland,0.04125000000000001,Urban
Franklin,0.04000000000000001,Rural
Clarion,0.04,Rural
Forest,0.04,Rural
Juniata,0.04,Rural
Crawford,0.04,Rural
Northumberland,0.03833333333333334,Rural
Luzerne,0.038181818181818185,Urban
Potter,0.038,Rural
Beaver,0.03785714285714287,Urban
Westmoreland,0.03529411764705883,Urban
Huntingdon,0.035,Rural
Lycoming,0.035,Rural
Indiana,0.03428571428571429,Rural
Washington,0.033571428571428585,Rural
Somerset,0.03272727272727274,Rural
York,0.03250000000000001,Urban
Cambria,0.03250000000000001,Rural
Armstrong,0.0325,Rural
Lebanon,0.03166666666666666,Urban
Mercer,0.03083333333333334,Rural
Jefferson,0.03,Rural
Mifflin,0.03,Rural
Warren,0.03,Rural
Tioga,0.03,Rural
Clinton,0.03,Rural
Northampton,0.029999999999999995,Urban
McKean,0.027999999999999997,Rural
Butler,0.027142857142857142,Rural
Bradford,0.02714285714285714,Rural
Adams,0.02666666666666666,Rural
Greene,0.026000000000000002,Rural
Pike,0.025,Rural
Union,0.025,Rural
Clearfield,0.024999999999999998,Rural
Lawrence,0.024999999999999998,Rural
Berks,0.02333333333333334,Urban
Columbia,0.023333333333333334,Rural
Elk,0.023333333333333334,Rural
Erie,0.023076923076923075,Urban
Bedford,0.022,Rural
Venango,0.022,Rural
Blair,0.021428571428571432,Rural
Delaware,0.021333333333333336,Urban
Lancaster,0.02125,Urban
Allegheny,0.020232558139534895,Urban
Lehigh,0.020000000000000004,Urban
Centre,0.02,Rural
Bucks,0.019230769230769232,Urban
Montgomery,0.018636363636363642,Urban
Chester,0.01416666666666667,Urban
Montour,0.01,Rural
