district,percentage,district,majority
"Aliquippa SD",0.15,"Aliquippa SD","Black or African American"
"Williams Valley SD",0.13,"Williams Valley SD",White
"West Perry SD",0.11,"West Perry SD",White
"Chester-Upland SD",0.09,"Chester-Upland SD","Black or African American"
"Carbondale Area SD",0.08,"Carbondale Area SD",White
"Jim Thorpe Area SD",0.08,"Jim Thorpe Area SD",White
"Panther Valley SD",0.08,"Panther Valley SD",White
"Fannett-Metal SD",0.07,"Fannett-Metal SD",White
"Galeton Area SD",0.07,"Galeton Area SD",White
"Susquenita SD",0.07,"Susquenita SD",White
"Bethlehem-Center SD",0.06,"Bethlehem-Center SD",White
"Crawford Central SD",0.06,"Crawford Central SD",White
"Hanover Area SD",0.06,"Hanover Area SD",White
"Lehighton Area SD",0.06,"Lehighton Area SD",White
"North Star SD",0.06,"North Star SD",White
"Redbank Valley SD",0.06,"Redbank Valley SD",White
"Sullivan County SD",0.06,"Sullivan County SD",White
"Uniontown Area SD",0.06,"Uniontown Area SD",White
"West Shore SD",0.06,"West Shore SD",White
"Allegheny-Clarion Valley SD",0.05,"Allegheny-Clarion Valley SD",White
"Bangor Area SD",0.05,"Bangor Area SD",White
"Cameron County SD",0.05,"Cameron County SD",White
"Forbes Road SD",0.05,"Forbes Road SD",White
"Forest City Regional SD",0.05,"Forest City Regional SD",White
"Leechburg Area SD",0.05,"Leechburg Area SD",White
"Ligonier Valley SD",0.05,"Ligonier Valley SD",White
"Middletown Area SD",0.05,"Middletown Area SD",White
"Northern Cambria SD",0.05,"Northern Cambria SD",White
"Northern Lebanon SD",0.05,"Northern Lebanon SD",White
"Northwest Area SD",0.05,"Northwest Area SD",White
"Penns Manor Area SD",0.05,"Penns Manor Area SD",White
"Pittsburgh SD",0.05,"Pittsburgh SD","Black or African American"
"Pottstown SD",0.05,"Pottstown SD","Black or African American"
"Rockwood Area SD",0.05,"Rockwood Area SD",White
"Scranton SD",0.05,"Scranton SD",Hispanic
"Sharon City SD",0.05,"Sharon City SD",White
"Sto-Rox SD",0.05,"Sto-Rox SD","Black or African American"
"Stroudsburg Area SD",0.05,"Stroudsburg Area SD",White
