district,percentage
"Aliquippa SD",0.15
"Williams Valley SD",0.13
"Steelton-Highspire SD",0.12
"West Perry SD",0.11
"Bryn Athyn SD",0.1
"Chester-Upland SD",0.09
"Millersburg Area SD",0.09
"Jim Thorpe Area SD",0.08
"Panther Valley SD",0.08
"Carbondale Area SD",0.08
"Farrell Area SD",0.07
"Fannett-Metal SD",0.07
"Monessen City SD",0.07
"Susquenita SD",0.07
"Midland Borough SD",0.07
"Shamokin Area SD",0.07
"Mount Union Area SD",0.07
"Greater Johnstown SD",0.07
"Galeton Area SD",0.07
"East Pennsboro Area SD",0.06
"Sullivan County SD",0.06
"Uniontown Area SD",0.06
"Jeannette City SD",0.06
"Big Spring SD",0.06
"Upper Dauphin Area SD",0.06
"Lakeland SD",0.06
"West Shore SD",0.06
"Newport SD",0.06
"Central Fulton SD",0.06
"Hanover Area SD",0.06
"Punxsutawney Area SD",0.06
"Rochester Area SD",0.06
"Lehighton Area SD",0.06
"Mahanoy Area SD",0.06
"Bethlehem-Center SD",0.06
"Harrisburg City SD",0.06
"Redbank Valley SD",0.06
"Montrose Area SD",0.06
"Brownsville Area SD",0.06
"Southeast Delco SD",0.06
"North Star SD",0.06
"Crawford Central SD",0.06
"Palmerton Area SD",0.06
"Forest City Regional SD",0.05
"Washington SD",0.05
"Pittsburgh SD",0.05
"Sto-Rox SD",0.05
"Allegheny-Clarion Valley SD",0.05
"Susquehanna Township SD",0.05
"Williamsport Area SD",0.05
"Morrisville Borough SD",0.05
"Lackawanna Trail SD",0.05
"Rockwood Area SD",0.05
"Leechburg Area SD",0.05
"Big Beaver Falls Area SD",0.05
"Ligonier Valley SD",0.05
"Union SD",0.05
"Mountain View SD",0.05
"York City SD",0.05
"Minersville Area SD",0.05
"Old Forge SD",0.05
"Philadelphia City SD",0.05
"Tunkhannock Area SD",0.05
"Sharon City SD",0.05
"Penns Manor Area SD",0.05
"Stroudsburg Area SD",0.05
"Pocono Mountain SD",0.05
"Wilkinsburg Borough SD",0.05
"Weatherly Area SD",0.05
"Burgettstown Area SD",0.05
"Wayne Highlands SD",0.05
"Northwest Area SD",0.05
"Forbes Road SD",0.05
"Northern Cambria SD",0.05
"Scranton SD",0.05
"Columbia Borough SD",0.05
"Oswayo Valley SD",0.05
