School_District,County,2022-23_Cyber_Charter_School_Expenditures,Total_Expenditures ,Percentange_of_expenses_for_cyber_tuition
Aliquippa SD,Beaver,"$3,986,474.70 ","$26,987,214.64 ",15%
Williams Valley SD,Schuylkill,"$2,504,825.48 ","$18,791,305.73 ",13%
Steelton-Highspire SD,Dauphin,"$3,982,068.00 ","$32,293,807.98 ",12%
West Perry SD,Perry,"$4,851,741.59 ","$45,353,846.62 ",11%
Bryn Athyn SD,Montgomery,"$25,938.00 ","$257,062.00 ",10%
Chester-Upland SD,Delaware,"$13,523,422.07 ","$148,558,474.51 ",9%
Millersburg Area SD,Dauphin,"$1,491,441.72 ","$17,492,927.03 ",9%
Jim Thorpe Area SD,Carbon,"$3,823,169.00 ","$47,407,031.03 ",8%
Panther Valley SD,Carbon,"$2,491,729.57 ","$32,643,596.89 ",8%
Carbondale Area SD,Lackawanna,"$2,375,242.46 ","$31,651,942.40 ",8%
Farrell Area SD,Mercer,"$1,718,719.95 ","$23,172,412.30 ",7%
Fannett-Metal SD,Franklin,"$728,991.54 ","$9,859,999.91 ",7%
Monessen City SD,Westmoreland,"$1,272,442.62 ","$17,476,820.29 ",7%
Susquenita SD,Perry,"$2,549,337.00 ","$36,258,206.07 ",7%
Midland Borough SD,Beaver,"$507,661.75 ","$7,296,848.38 ",7%
Shamokin Area SD,Northumberland,"$2,777,028.03 ","$40,031,538.88 ",7%
Mount Union Area SD,Huntingdon,"$1,649,903.77 ","$24,204,461.74 ",7%
Greater Johnstown SD,Cambria,"$4,840,700.76 ","$72,514,359.78 ",7%
Galeton Area SD,Potter,"$622,492.25 ","$9,509,192.10 ",7%
East Pennsboro Area SD,Cumberland,"$3,172,009.61 ","$48,935,096.84 ",6%
Sullivan County SD,Sullivan,"$1,132,150.86 ","$17,544,559.75 ",6%
Uniontown Area SD,Fayette,"$3,745,189.55 ","$58,826,827.88 ",6%
Jeannette City SD,Westmoreland,"$1,417,411.07 ","$22,712,200.74 ",6%
Big Spring SD,Cumberland,"$3,896,795.07 ","$62,461,533.79 ",6%
