County_Name,Rural_Urban
Adams,Rural
Allegheny,Urban
Armstrong,Rural
Beaver,Urban
Bedford,Rural
Berks,Urban
Blair,Rural
Bradford,Rural
Bucks,Urban
Butler,Rural
Cambria,Rural
Cameron,Rural
Carbon,Rural
Centre,Rural
Chester,Urban
Clarion,Rural
Clearfield,Rural
Clinton,Rural
Columbia,Rural
Crawford,Rural
Cumberland,Urban
Dauphin,Urban
Delaware,Urban
Elk,Rural
Erie,Urban
Fayette,Rural
Forest,Rural
Franklin,Rural
Fulton,Rural
Greene,Rural
Huntingdon,Rural
Indiana,Rural
Jefferson,Rural
Juniata,Rural
Lackawanna,Urban
Lancaster,Urban
Lawrence,Rural
Lebanon,Urban
Lehigh,Urban
Luzerne,Urban
Lycoming,Rural
McKean,Rural
Mercer,Rural
Mifflin,Rural
Monroe,Rural
Montgomery,Urban
Montour,Rural
Northampton,Urban
Northumberland,Rural
Perry,Rural
Philadelphia,Urban
Pike,Rural
Potter,Rural
Schuylkill,Rural
Snyder,Rural
Somerset,Rural
Sullivan,Rural
Susquehanna,Rural
Tioga,Rural
Union,Rural
Venango,Rural
Warren,Rural
Washington,Rural
Wayne,Rural
Westmoreland,Urban
Wyoming,Rural
York,Urban
