AUN,Name,Type,County,Race,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total,District,Majority
124150002,21st Century Cyber CS,Cyber CS,Chester,American Indian / Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,21st Century Cyber CS,White
124150002,21st Century Cyber CS,Cyber CS,Chester,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,20,A W Beattie Career Center,White
124150002,21st Century Cyber CS,Cyber CS,Chester,Black or African American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,20^,29,30,42,32,36,195,Abington Heights SD,White
124150002,21st Century Cyber CS,Cyber CS,Chester,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,20,22,15,20,22,106,Abington SD,White
124150002,21st Century Cyber CS,Cyber CS,Chester,Multi-Racial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,13,17,21,28,*,94,Achievement House CS,White
124150002,21st Century Cyber CS,Cyber CS,Chester,Native Hawaiian or other Pacific Islander(not hispanic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,*,Ad Prima CS,Black or African American
124150002,21st Century Cyber CS,Cyber CS,Chester,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,58,99,174,141,173,154,823,Adams County Technical Institute,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,American Indian / Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,Admiral Peary AVTS,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,*,18,Agora Cyber CS,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,Black or African American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,12,41,Albert Gallatin Area SD,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,17,38,Aliquippa SD,Black or African American
103020407,A W Beattie Career Center,OCCCTC,Allegheny,Multi-Racial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,11,36,Allegheny IU 3,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,Native Hawaiian or other Pacific Islander(not hispanic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,Allegheny Valley SD,White
103020407,A W Beattie Career Center,OCCCTC,Allegheny,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,299,264,783,Allegheny-Clarion Valley SD,White
119350303,Abington Heights SD,SD,Lackawanna,American Indian / Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,*,*,Allentown City SD,Hispanic
119350303,Abington Heights SD,SD,Lackawanna,Asian,0,0,0,0,0,0,*,*,0,16,22,16,25,22,21,17,13,11,23,19,23,240,Alliance for Progress CS,Black or African American
119350303,Abington Heights SD,SD,Lackawanna,Black or African American,0,0,0,0,0,0,0,*,0,*,*,*,*,*,*,*,10,*,*,*,*,55,Altoona Area SD,White
119350303,Abington Heights SD,SD,Lackawanna,Hispanic,0,0,0,0,0,0,*,*,0,11,*,10,11,14,12,11,14,20,11,17,11,157,Ambridge Area SD,White
119350303,Abington Heights SD,SD,Lackawanna,Multi-Racial,0,0,0,0,0,0,*,*,0,11,*,*,*,*,*,*,*,*,*,*,*,66,Annville-Cleona SD,White
119350303,Abington Heights SD,SD,Lackawanna,Native Hawaiian or other Pacific Islander(not hispanic),0,0,0,0,0,0,0,0,0,0,*,0,*,0,*,0,*,0,0,0,0,*,Antietam SD,Hispanic
119350303,Abington Heights SD,SD,Lackawanna,White,0,0,0,0,0,0,102,96,0,198,211,248,200,215,244,240,230,259,226,216,261,"2,946",Antonia Pantoja Community CS,Hispanic
